coal_adj_close,ttf_adj_close,ttf_volume,oil_adj_close,oil_volume,fractional_hour,day_of_week,week_of_year,month,year,hydro_storage_in,cross_border,nuclear,hydro,biomass,lignite,hard_coal,oil,coal_gas,nat_gas,geothermal,hydro_reservoir,hydro_storage_out,others,waste,wind_offshore,wind_onshore,solar,load,residual_load,renewable_share_gen,renewable_share_load,day_ahead_price,holiday,actual_pmi,temp_north,windspeed_north,temp_south,windspeed_south,solarradiation_south,solarenergy_south,temp_brocken,windspeed_brocken,solarradiation_brocken,solarenergy_brocken
94.5,66.57,2429.0,60.37,510313.0,0.0,1.0,1.0,1.0,2018.0,-4160.7,-7219.6,9058.2,1960.7,4965.5,14069.5,1951.2,304.6,322.8,5657.6,17.7,50.5,16.5,1817.6,1256.1,1609.2,15220.9,0.0,45599.7,28769.5,41.8,53.5,14.99,0.0,63.3,6.3,19.2,6.2,30.6,0.0,0.0,1.0,5.5,0.0,0.0
94.5,66.57,2429.0,60.37,510313.0,0.25,1.0,1.0,1.0,2018.0,-4356.9,-7219.6,9039.8,1953.2,4973.5,13726.7,1970.7,306.3,373.0,5658.0,17.7,40.6,16.8,1818.2,1247.0,1613.0,15209.8,0.0,45010.0,28187.1,42.0,54.1,14.99,0.0,63.3,6.3,19.2,6.2,30.6,0.0,0.0,1.0,5.5,0.0,0.0
94.5,66.57,2429.0,60.37,510313.0,0.5,1.0,1.0,1.0,2018.0,-4475.9,-7219.6,9057.2,1946.3,4980.1,13591.6,1970.5,307.3,373.0,5693.1,17.8,41.5,16.9,1817.9,1247.0,1633.5,15197.4,0.0,44885.5,28054.7,42.1,54.3,14.99,0.0,63.3,6.3,19.2,6.2,30.6,0.0,0.0,1.0,5.5,0.0,0.0
94.5,66.57,2429.0,60.37,510313.0,0.75,1.0,1.0,1.0,2018.0,-4489.2,-7219.6,9020.5,1944.2,4982.7,13343.3,1962.9,307.2,373.0,5660.2,17.8,40.5,16.9,1811.7,1239.2,1615.9,15091.2,0.0,44741.3,28034.2,42.2,54.2,14.99,0.0,63.3,6.3,19.2,6.2,30.6,0.0,0.0,1.0,5.5,0.0,0.0
94.5,66.57,2429.0,60.37,510313.0,1.0,1.0,1.0,1.0,2018.0,-4350.8,-6415.0,9096.7,1942.2,4976.7,13228.8,1957.7,307.3,373.0,5643.7,17.8,49.3,16.9,1797.9,1241.2,1550.1,14926.0,0.0,44469.4,27993.3,42.0,54.0,13.63,0.0,63.3,6.0,21.9,5.3,33.3,0.0,0.0,1.1,5.6,0.0,0.0
94.5,66.57,2429.0,60.37,510313.0,1.25,1.0,1.0,1.0,2018.0,-4337.8,-6415.0,9109.3,1942.2,4973.0,13069.2,1954.3,307.3,340.7,5652.4,17.8,45.4,17.1,1797.6,1216.5,1520.9,14604.3,0.0,44605.4,28480.2,41.8,53.0,13.63,0.0,63.3,6.0,21.9,5.3,33.3,0.0,0.0,1.1,5.6,0.0,0.0
94.5,66.57,2429.0,60.37,510313.0,1.5,1.0,1.0,1.0,2018.0,-4283.9,-6415.0,9112.5,1943.9,4973.4,13075.9,1947.6,307.3,340.7,5681.2,17.8,45.7,22.0,1797.7,1234.7,1511.9,14548.3,0.0,44610.2,28550.0,41.7,52.9,13.63,0.0,63.3,6.0,21.9,5.3,33.3,0.0,0.0,1.1,5.6,0.0,0.0
94.5,66.57,2429.0,60.37,510313.0,1.75,1.0,1.0,1.0,2018.0,-3881.3,-6415.0,9132.0,1943.1,4966.2,12295.6,1949.7,307.2,340.7,5723.3,17.7,48.4,23.0,1797.5,1236.0,1572.6,14421.0,0.0,44596.5,28602.9,42.2,52.7,13.63,0.0,63.3,6.0,21.9,5.3,33.3,0.0,0.0,1.1,5.6,0.0,0.0
94.5,66.57,2429.0,60.37,510313.0,2.0,1.0,1.0,1.0,2018.0,-2822.2,-6101.1,9175.8,1942.2,4965.2,11805.5,1924.4,307.2,340.7,5849.5,17.8,53.1,32.3,1797.9,1228.4,1642.3,14296.6,0.0,44914.7,28975.7,42.4,52.3,12.15,0.0,63.3,5.5,27.3,5.4,26.4,0.0,0.0,1.1,5.5,0.0,0.0
94.5,66.57,2429.0,60.37,510313.0,2.25,1.0,1.0,1.0,2018.0,-3288.7,-6101.1,9175.0,1943.4,4983.4,11893.9,1899.7,307.2,328.5,5887.9,17.8,38.3,15.2,1798.3,1223.2,1713.9,14477.5,0.0,44843.7,28652.2,42.6,52.9,12.15,0.0,63.3,5.5,27.3,5.4,26.4,0.0,0.0,1.1,5.5,0.0,0.0
