datetime,temp_north,windspeed_north,solarradiation_north,solarenergy_north,temp_south,windspeed_south,solarradiation_south,solarenergy_south,temp_brocken,windspeed_brocken,solarradiation_brocken,solarenergy_brocken
2018-01-01T00:00:00,7.2,15.2,0.0,0.0,9.2,13.2,0.0,0.0,8.8,25.5,0.0,0.0
2018-01-01T01:00:00,7.3,13.2,0.0,0.0,8.9,15.2,0.0,0.0,7.8,21.5,0.0,0.0
2018-01-01T02:00:00,7.7,10.5,0.0,0.0,8.7,17.8,0.0,0.0,6.0,20.0,0.0,0.0
2018-01-01T03:00:00,8.5,15.1,0.0,0.0,8.3,20.4,0.0,0.0,6.2,21.7,0.0,0.0
2018-01-01T04:00:00,8.7,25.2,0.0,0.0,7.9,15.4,0.0,0.0,5.2,20.3,0.0,0.0
2018-01-01T05:00:00,8.6,24.4,0.0,0.0,7.8,16.7,0.0,0.0,4.5,18.8,0.0,0.0
2018-01-01T06:00:00,8.3,25.0,0.0,0.0,7.6,18.0,0.0,0.0,4.4,23.4,0.0,0.0
2018-01-01T07:00:00,8.1,19.3,0.0,0.0,7.3,19.2,0.0,0.0,4.1,23.5,0.0,0.0
2018-01-01T08:00:00,8.0,21.8,0.0,0.0,6.4,17.2,0.0,0.0,4.0,24.3,9.7,0.0
2018-01-01T09:00:00,7.6,24.2,12.0,0.0,6.3,22.0,16.0,0.1,4.0,22.0,6.0,0.0
2018-01-01T10:00:00,6.2,17.1,54.0,0.2,6.2,15.4,56.0,0.2,4.1,27.4,35.0,0.1
2018-01-01T11:00:00,7.0,24.8,94.0,0.3,7.4,16.1,171.0,0.6,3.7,22.3,48.0,0.2
2018-01-01T12:00:00,7.0,32.9,229.0,0.8,7.8,25.3,277.0,1.0,3.7,19.7,105.0,0.4
2018-01-01T13:00:00,7.1,27.3,84.0,0.3,8.3,18.9,316.0,1.1,3.9,23.6,95.0,0.3
2018-01-01T14:00:00,7.6,25.2,190.0,0.7,8.2,19.9,258.0,0.9,3.8,20.7,70.0,0.3
2018-01-01T15:00:00,8.0,17.1,109.0,0.4,8.4,20.9,138.0,0.5,3.9,20.2,32.0,0.1
2018-01-01T16:00:00,7.0,11.0,24.0,0.1,7.9,15.2,33.0,0.1,3.4,16.0,14.0,0.1
2018-01-01T17:00:00,4.0,10.9,4.0,0.0,7.4,16.4,6.0,0.0,3.0,17.9,0.0,0.0
2018-01-01T18:00:00,4.8,15.1,0.0,0.0,6.8,14.5,0.0,0.0,2.5,11.9,0.0,0.0
2018-01-01T19:00:00,5.2,16.2,0.0,0.0,7.5,18.1,0.0,0.0,2.6,13.5,0.0,0.0
2018-01-01T20:00:00,5.5,18.5,0.0,0.0,6.9,23.7,0.0,0.0,2.8,14.6,0.0,0.0
2018-01-01T21:00:00,5.7,18.7,0.0,0.0,6.8,18.0,0.0,0.0,1.3,7.4,0.0,0.0
2018-01-01T22:00:00,6.1,25.2,0.0,0.0,6.6,22.5,0.0,0.0,1.2,3.9,0.0,0.0
2018-01-01T23:00:00,6.0,19.4,0.0,0.0,6.3,21.3,0.0,0.0,1.0,8.5,0.0,0.0
2018-01-02T00:00:00,6.3,19.2,0.0,0.0,6.2,30.6,0.0,0.0,1.0,5.5,0.0,0.0
2018-01-02T01:00:00,6.0,21.9,0.0,0.0,5.3,33.3,0.0,0.0,1.1,5.6,0.0,0.0
2018-01-02T02:00:00,5.5,27.3,0.0,0.0,5.4,26.4,0.0,0.0,1.1,5.5,0.0,0.0
2018-01-02T03:00:00,5.5,30.6,0.0,0.0,5.3,23.2,0.0,0.0,1.2,6.4,0.0,0.0
2018-01-02T04:00:00,4.7,31.6,0.0,0.0,5.2,22.6,0.0,0.0,1.1,9.5,0.0,0.0
2018-01-02T05:00:00,4.5,26.9,0.0,0.0,4.8,20.2,0.0,0.0,1.0,11.9,0.0,0.0
2018-01-02T06:00:00,4.5,31.7,0.0,0.0,3.6,14.5,0.0,0.0,0.9,8.2,0.0,0.0
2018-01-02T07:00:00,4.7,26.4,0.0,0.0,3.4,13.0,0.0,0.0,1.0,8.6,0.0,0.0
2018-01-02T08:00:00,4.5,20.5,0.0,0.0,3.8,21.1,0.0,0.0,1.1,9.3,2.9,0.0
2018-01-02T09:00:00,4.1,20.0,9.0,0.0,3.9,14.6,14.0,0.1,1.2,8.3,34.0,0.1
2018-01-02T10:00:00,4.7,18.4,26.0,0.1,4.4,24.6,35.0,0.1,1.5,9.7,18.0,0.1
2018-01-02T11:00:00,4.9,25.0,41.0,0.1,5.2,26.6,87.0,0.3,1.9,11.5,30.0,0.1
2018-01-02T12:00:00,4.6,27.4,51.0,0.2,6.0,25.0,210.0,0.8,2.0,10.1,43.0,0.2
2018-01-02T13:00:00,4.8,24.7,65.0,0.2,6.3,26.5,154.0,0.6,2.3,11.7,83.0,0.3
2018-01-02T14:00:00,5.2,24.2,56.0,0.2,5.4,24.9,70.0,0.3,2.3,10.5,66.0,0.2
2018-01-02T15:00:00,5.4,19.0,104.0,0.4,5.1,10.5,43.0,0.2,2.3,9.1,45.0,0.2
2018-01-02T16:00:00,5.2,23.1,20.0,0.1,5.5,9.2,37.0,0.1,1.9,11.7,15.0,0.1
2018-01-02T17:00:00,4.2,11.0,3.0,0.0,4.9,10.1,10.0,0.0,1.8,13.5,0.0,0.0
2018-01-02T18:00:00,3.6,10.3,0.0,0.0,4.6,11.9,0.0,0.0,1.2,10.8,0.0,0.0
2018-01-02T19:00:00,4.0,9.6,0.0,0.0,4.3,6.0,0.0,0.0,1.2,13.9,0.0,0.0
2018-01-02T20:00:00,3.1,6.4,0.0,0.0,4.3,11.3,0.0,0.0,1.3,12.0,0.0,0.0
2018-01-02T21:00:00,2.8,11.1,0.0,0.0,4.9,14.1,0.0,0.0,1.3,16.6,0.0,0.0
2018-01-02T22:00:00,2.9,11.4,0.0,0.0,5.1,15.2,0.0,0.0,1.5,17.4,0.0,0.0
2018-01-02T23:00:00,3.5,14.0,0.0,0.0,5.5,14.6,0.0,0.0,1.7,14.0,0.0,0.0
2018-01-03T00:00:00,3.8,13.5,0.0,0.0,5.8,18.8,0.0,0.0,1.9,16.1,0.0,0.0
2018-01-03T01:00:00,3.9,17.1,0.0,0.0,5.5,15.8,0.0,0.0,1.9,17.9,0.0,0.0
2018-01-03T02:00:00,4.4,20.2,0.0,0.0,5.7,14.9,0.0,0.0,2.1,20.8,0.0,0.0
2018-01-03T03:00:00,4.2,19.8,0.0,0.0,6.3,16.8,0.0,0.0,1.9,21.2,0.0,0.0
2018-01-03T04:00:00,3.6,18.8,0.0,0.0,7.0,16.7,0.0,0.0,1.5,17.9,0.0,0.0
2018-01-03T05:00:00,3.9,21.5,0.0,0.0,8.3,17.8,0.0,0.0,2.1,19.2,0.0,0.0
2018-01-03T06:00:00,4.4,30.0,0.0,0.0,9.8,22.2,0.0,0.0,2.0,18.1,0.0,0.0
2018-01-03T07:00:00,5.4,27.2,0.0,0.0,10.4,26.1,0.0,0.0,2.6,15.8,0.0,0.0
2018-01-03T08:00:00,6.7,26.8,0.0,0.0,11.9,29.6,0.0,0.0,3.5,16.8,1.7,0.0
2018-01-03T09:00:00,8.0,30.7,13.0,0.0,7.8,60.8,5.0,0.0,3.9,16.2,5.0,0.0
2018-01-03T10:00:00,5.2,36.1,12.0,0.0,7.2,32.1,23.0,0.1,4.3,15.5,22.0,0.1
2018-01-03T11:00:00,5.4,19.2,16.0,0.1,6.9,37.4,22.0,0.1,3.4,22.4,33.0,0.1
2018-01-03T12:00:00,6.6,24.0,116.0,0.4,5.6,32.0,37.0,0.1,3.2,23.8,54.0,0.2
2018-01-03T13:00:00,7.6,42.0,82.0,0.3,6.8,43.3,102.0,0.4,3.4,24.0,65.0,0.2
2018-01-03T14:00:00,7.4,39.4,128.0,0.5,7.1,35.2,134.0,0.5,3.4,22.5,38.0,0.1
