Date__GMT_1_,Hydro_pumped_storage_consumption,Cross_border_electricity_trading,Nuclear,Hydro_Run_of_River,Biomass,Fossil_brown_coal___lignite,Fossil_hard_coal,Fossil_oil,Fossil_coal_derived_gas,Fossil_gas,Geothermal,Hydro_water_reservoir,Hydro_pumped_storage,Others,Waste,Wind_offshore,Wind_onshore,Solar,Load,Residual_load,Renewable_share_of_generation,Renewable_share_of_load,Day_Ahead_Auction__DE_AT_LU_,Day_Ahead_Auction__DE_LU_
,Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Renewable share (%),Renewable share (%),Price (EUR/MWh),Price (EUR/MWh)
12/31/2017 23:00:00,-755.4,-14932.6,6347.5,2096.3,4955,8059.2,1849.9,302.3,390,4209.3,18.5,44.4,295.6,1531,1221.3,2986.1,27633.3,0,49692.7,19073.3,61.8,77,-5.27,
12/31/2017 23:15:00,-955.4,-14932.6,5957.7,2075.8,4947.7,8108.8,1812.6,302.3,504.7,4215.7,18.6,45,180.7,1531.2,1212.2,3005.6,28215.1,0,49135,17914.4,62.5,79.1,-5.27,
12/31/2017 23:30:00,-1004.8,-14932.6,5755.1,2068.3,4942.7,8142,1774.4,302.3,504.7,4214.4,18.6,41.9,145.1,1531.3,1221.3,2933.6,28588.8,0,48754.6,17232.3,62.9,80.3,-5.27,
12/31/2017 23:45:00,-1047.8,-14932.6,5363.2,2008.7,4944.1,8183.3,1760.3,302,504.7,4187.4,18.5,48.5,295.5,1531.5,1221.3,2799.1,28861.6,0,48560.8,16900.1,63.2,80.8,-5.27,
1/1/2018 0:00:00,-1063.4,-15844.4,4943.3,1936.5,4935.1,8248.9,1692.5,303.2,504.7,4173.8,18.4,46.9,624.8,1531.2,1219.7,2912.2,29198.3,0,48239.3,16128.8,63.6,82.1,-29.99,
1/1/2018 0:15:00,-1160.1,-15844.4,4792.1,1932.8,4905.9,8260.8,1672.4,303.5,538.8,4221.8,18.4,47.3,730.1,1531.2,1218.4,3022.4,29180.3,0,48084.9,15882.2,63.6,82.5,-29.99,
1/1/2018 0:30:00,-1217.4,-15844.4,4648.9,1929.1,4906.3,8202,1687.5,303.6,538.8,4250.7,18.5,46.2,317.8,1528.3,1184.5,3049.8,29531.2,0,47531.6,14950.6,64.4,84.2,-29.99,
1/1/2018 0:45:00,-1403.2,-15844.4,4638.2,1930.1,4911.4,8198.1,1717.8,302.3,538.8,4182.4,18.4,46.9,179.6,1524.8,1123.4,3076.8,29897.2,0,47265,14291,64.8,85.4,-29.99,
1/1/2018 1:00:00,-1677,-16276.3,4580.7,1928.6,4900.8,8225.8,1755.6,302.7,538.8,4155.6,18.5,48.3,521.3,1524.6,1102.6,3106.4,30045.7,0,46838.1,13685.9,64.6,86.6,-56.65,
1/1/2018 1:15:00,-1832.6,-16276.3,4561.1,1925.8,4908.5,8184,1756.8,302.9,494.1,4190.2,18.5,47.7,397,1524.8,1102.6,3110.1,30112.7,0,46610.9,13388,64.8,87.1,-56.65,
1/1/2018 1:30:00,-2243.8,-16276.3,4566.5,1923.2,4907,8164.2,1799.2,302.8,494.1,4214.3,18.5,47.6,215.7,1524.6,1114.6,3119.8,29850.4,0,46741.9,13771.8,64.8,86.4,-56.65,
1/1/2018 1:45:00,-2490,-16276.3,4662,1922.1,4915.2,8123.8,1769.3,302.1,494.1,4210,18.4,50.9,50.8,1505.8,1108.1,3107.7,29927.8,0,46293.1,13257.6,65,87.4,-56.65,
1/1/2018 2:00:00,-2704.9,-16361.6,4907.7,1918.2,4902.2,8163.4,1780.9,302.1,494.1,4206.5,18.3,45.4,47.3,1505.9,1110.4,3101.8,30606.1,0,46160.1,12452.2,65.1,89,-63.14,
1/1/2018 2:15:00,-2923.4,-16361.6,4899.9,1912.5,4901.8,8112.8,1769.2,302.1,463.6,4234.3,18,48.4,37.2,1506.3,1088.6,3148.9,30895.5,0,45966.2,11921.8,65.4,90.1,-63.14,
1/1/2018 2:30:00,-2913.4,-16361.6,4902,1911.3,4907,8123.3,1757.5,302.1,463.6,4244.2,17.8,44,34.9,1506.3,1091.2,3167.6,30851,0,45763.5,11744.9,65.4,90.4,-63.14,
1/1/2018 2:45:00,-2907.7,-16361.6,4852.3,1909.4,4913.6,8114.6,1757.1,302.1,463.6,4199.2,17.6,43.2,27.9,1506.1,1108.1,3192.1,30954.6,0,45709.1,11562.5,65.5,90.9,-63.14,
1/1/2018 3:00:00,-3725.6,-15642.3,4747.9,1909.3,4913.8,8077.1,1754.1,302.3,463.6,4191.2,17.5,47.5,31.2,1506.8,1135.6,3233.5,30814.6,0,45928.5,11880.5,65.6,90.2,-64.62,
1/1/2018 3:15:00,-3947.7,-15642.3,4692.2,1905.8,4924.3,8108.6,1766.8,302.3,496.3,4195.2,17.5,47,30.9,1506.4,1125.2,3224.1,30893.6,0,45835.8,11718.1,65.7,90.6,-64.62,
1/1/2018 3:30:00,-3816.7,-15642.3,4649.1,1907.8,4935.7,8141,1772.5,302.9,496.3,4241.1,17.3,46.2,30.9,1507.2,1177,3206.9,30794.7,0,45915.2,11913.6,65.5,90.2,-64.62,
1/1/2018 3:45:00,-3861.4,-15642.3,4702.1,1902.8,4921.8,8100.7,1763.1,302.5,496.3,4229.4,17.3,44.6,33.6,1507.7,1177.3,3247.5,30778.1,0,45868.6,11843,65.5,90.3,-64.62,
1/1/2018 4:00:00,-3859.3,-15586.1,4751,1899.3,4910,8111.8,1766.7,302.1,496.3,4202.5,17.1,48.5,34.2,1508.5,1190.1,3301,31291.8,0,46035.4,11442.6,65.8,91.2,-67,
1/1/2018 4:15:00,-3900.1,-15586.1,4799.5,1899.3,4915.7,8138.2,1760.5,303.6,485.3,4184.4,17.2,46.2,34.2,1508.2,1204.5,3303.3,31369.7,0,45744.9,11071.9,65.8,92,-67,
1/1/2018 4:30:00,-4109.2,-15586.1,4881.6,1898.3,4923.8,8114.9,1771.5,301.9,485.3,4198.1,17.4,47.7,34,1507.2,1184.9,3291.1,31384.2,0,45554.6,10879.3,65.7,92.4,-67,
1/1/2018 4:45:00,-4161.3,-15586.1,4898,1895,4920.8,8147.3,1776.2,302.8,485.3,4147.3,17.5,47.3,34.3,1507,1184.9,3295.2,31299.3,0,45186.7,10592.2,65.7,93,-67,
1/1/2018 5:00:00,-3924,-15669.5,4833.1,1893.2,4917.7,7989.3,1774.3,302.6,485.3,4072.8,17.6,43.3,34.2,1506.8,1172.2,3310.5,31150.5,0,44544.6,10083.6,65.9,94,-72.54,
1/1/2018 5:15:00,-4052.7,-15669.5,4743.8,1893.8,4942,8020,1768.7,302.8,462.4,4037.8,17.8,41.1,34.6,1506.2,1174.8,3307.9,30767.6,0,44360.4,10285,65.8,93.5,-72.54,
1/1/2018 5:30:00,-3947.4,-15669.5,4753.7,1889.8,4954.7,8096.4,1800.1,303,462.4,4019,17.8,45.7,32,1506.7,1180,3303.3,30406.6,0,44408,10698.2,65.6,92.7,-72.54,
1/1/2018 5:45:00,-3960,-15669.5,4726.8,1887.1,4961.6,8111,1761.1,302.8,462.4,3979.6,17.9,43.5,31.3,1506.8,1180,3308,30517.8,0,44595.9,10770.1,65.7,92.5,-72.54,
