Date,Open,High,Low,Close_,Adj_Close__,Volume
"Oct 29, 2020",62,62,62,62,62,-
"Aug 13, 2020",68,68,68,68,68,-
"Jul 21, 2020",72,72,72,72,72,-
"Jun 02, 2019",72,72,72,72,72,-
"Mar 24, 2019",72,72,72,72,72,-
"Mar 19, 2019",72,72,72,72,72,-
"Jun 16, 2021",76,76,76,76,76,-
"Jun 01, 2021",76,76,76,76,76,-
"Dec 05, 2019",76,76,76,76,76,-
"Feb 14, 2019",76,76,76,76,76,-
"Dec 20, 2021",104,104,104,104,104,-
"Nov 01, 2023",124,124,124,124,124,-
"May 08, 2023",124,124,124,124,124,-
"Feb 21, 2023",144,144,144,144,144,-
"Dec 01, 2022",256,256,256,256,256,-
"Mar 21, 2023",128.25,128.25,128.25,128.25,128.25,-
"May 31, 2020",64.25,64.25,64.25,64.25,64.25,-
"May 27, 2020",64.25,64.25,64.25,64.25,64.25,-
"Jun 16, 2019",72.25,72.25,72.25,72.25,72.25,-
"May 19, 2019",72.25,72.25,72.25,72.25,72.25,-
"May 13, 2021",76.25,76.25,76.25,76.25,76.25,-
"Nov 15, 2021",92.25,92.25,92.25,92.25,92.25,-
"May 11, 2023",112.25,112.25,112.25,112.25,112.25,-
"Sep 12, 2023",124.25,124.25,124.25,124.25,124.25,-
"Nov 22, 2022",224.5,224.5,224.5,224.5,224.5,-
"Feb 22, 2023",144.75,144.75,144.75,144.75,144.75,-
"Feb 06, 2023",152.75,152.75,152.75,152.75,152.75,-
"May 20, 2020",64.5,64.5,64.5,64.5,64.5,-
"Jan 02, 2020",72.5,72.5,72.5,72.5,72.5,-
"Dec 31, 2019",72.5,72.5,72.5,72.5,72.5,-
"Nov 13, 2023",124.5,124.5,124.5,124.5,124.5,-
"Nov 02, 2023",124.5,124.5,124.5,124.5,124.5,-
"Mar 27, 2023",137,137,137,137,137,-
"Dec 12, 2022",233.25,233.25,233.25,233.25,233.25,-
"Feb 25, 2020",68.75,68.75,68.75,68.75,68.75,-
"Feb 24, 2020",68.75,68.75,68.75,68.75,68.75,-
"Jan 16, 2020",72.75,72.75,72.75,72.75,72.75,-
"Oct 07, 2019",76.75,76.75,76.75,76.75,76.75,-
"Feb 07, 2019",76.75,76.75,76.75,76.75,76.75,-
"Aug 22, 2021",84.75,84.75,84.75,84.75,84.75,-
"Nov 06, 2023",120.75,120.75,120.75,120.75,120.75,-
"Nov 05, 2020",62.5,62.5,62.5,62.5,62.5,-
"May 03, 2020",65,65,65,65,65,-
"Jul 12, 2020",69,69,69,69,69,-
"Mar 05, 2020",69,69,69,69,69,-
"Mar 03, 2020",69,69,69,69,69,-
"Jul 28, 2021",81,81,81,81,81,-
"Jul 11, 2023",97,97,97,97,97,-
"Nov 07, 2023",121,121,121,121,121,-
"Apr 23, 2023",130,130,130,130,130,-
"May 19, 2020",65.25,65.25,65.25,65.25,65.25,-
"Aug 10, 2020",69.25,69.25,69.25,69.25,69.25,-
"Jun 20, 2023",113.25,113.25,113.25,113.25,113.25,-
"Jun 13, 2023",113.25,113.25,113.25,113.25,113.25,-
"Sep 19, 2023",125.25,125.25,125.25,125.25,125.25,-
"Sep 28, 2022",277,277,277,277,277,-
"Mar 10, 2023",138.75,138.75,138.75,138.75,138.75,-
"Oct 24, 2022",234.75,234.75,234.75,234.75,234.75,-
"Dec 06, 2022",261.5,261.5,261.5,261.5,261.5,-
"Mar 26, 2020",65.5,65.5,65.5,65.5,65.5,-
"Jun 29, 2020",69.5,69.5,69.5,69.5,69.5,-
"Mar 11, 2019",73.5,73.5,73.5,73.5,73.5,-
"Jan 27, 2023",147,147,147,147,147,-
"Feb 13, 2023",139.25,139.25,139.25,139.25,139.25,-
"Oct 10, 2022",243.25,243.25,243.25,243.25,243.25,-
"Jan 25, 2021",65.75,65.75,65.75,65.75,65.75,-
"Jun 02, 2020",65.75,65.75,65.75,65.75,65.75,-
"May 05, 2020",65.75,65.75,65.75,65.75,65.75,-
"Jan 06, 2020",73.75,73.75,73.75,73.75,73.75,-
"May 28, 2019",73.75,73.75,73.75,73.75,73.75,-
"Apr 30, 2019",73.75,73.75,73.75,73.75,73.75,-
"Mar 08, 2019",73.75,73.75,73.75,73.75,73.75,-
"Nov 25, 2019",77.75,77.75,77.75,77.75,77.75,-
"Nov 13, 2019",77.75,77.75,77.75,77.75,77.75,-
"Oct 31, 2021",81.75,81.75,81.75,81.75,81.75,-
"Dec 22, 2021",101.75,101.75,101.75,101.75,101.75,-
"Nov 20, 2023",121.75,121.75,121.75,121.75,121.75,-
"Nov 17, 2023",121.75,121.75,121.75,121.75,121.75,-
"Aug 10, 2023",121.75,121.75,121.75,121.75,121.75,-
"May 07, 2023",125.75,125.75,125.75,125.75,125.75,-
"May 04, 2023",125.75,125.75,125.75,125.75,125.75,-
"Mar 08, 2023",125.75,125.75,125.75,125.75,125.75,-
"Oct 16, 2023",139.5,139.5,139.5,139.5,139.5,-
"Jan 31, 2023",147.75,147.75,147.75,147.75,147.75,-
"Jan 23, 2023",179.75,179.75,179.75,179.75,179.75,-
"Dec 02, 2022",263.75,263.75,263.75,263.75,263.75,-
"Oct 22, 2020",66,66,66,66,66,-
"Aug 20, 2020",66,66,66,66,66,-
"Apr 23, 2020",66,66,66,66,66,-
"Apr 12, 2020",66,66,66,66,66,-
"Apr 08, 2020",66,66,66,66,66,-
"Mar 25, 2020",66,66,66,66,66,-
"Mar 24, 2021",70,70,70,70,70,-
"May 23, 2019",74,74,74,74,74,-
"Sep 25, 2023",126,126,126,126,126,-
"Mar 02, 2023",148,148,148,148,148,-
"Jan 20, 2023",180,180,180,180,180,-
"Oct 12, 2023",140.25,140.25,140.25,140.25,140.25,-
"Jan 30, 2023",148.25,148.25,148.25,148.25,148.25,-
"Jun 16, 2020",66.25,66.25,66.25,66.25,66.25,-
"Jun 10, 2020",66.25,66.25,66.25,66.25,66.25,-
"Mar 17, 2020",66.25,66.25,66.25,66.25,66.25,-
"Jul 03, 2019",74.25,74.25,74.25,74.25,74.25,-
"Feb 20, 2019",78.25,78.25,78.25,78.25,78.25,-
"Jan 03, 2023",180.5,180.5,180.5,180.5,180.5,-
"Dec 27, 2022",188.5,188.5,188.5,188.5,188.5,-
"Nov 30, 2022",265.25,265.25,265.25,265.25,265.25,-
"Dec 09, 2020",66.5,66.5,66.5,66.5,66.5,-
"Mar 30, 2021",70.5,70.5,70.5,70.5,70.5,-
"Jul 19, 2020",70.5,70.5,70.5,70.5,70.5,-
