Date;Open;High;Low;Close*;Adj Close**;Volume
Nov 22, 2023;77.77;77.97;73.79;77.10;77.10;389,325
Nov 21, 2023;77.65;77.92;76.92;77.77;77.77;238,629
Nov 20, 2023;75.65;78.22;75.65;77.60;77.60;270,638
Nov 17, 2023;72.97;75.99;72.75;75.89;75.89;101,484
Nov 16, 2023;76.60;76.63;72.16;72.90;72.90;125,165
Nov 15, 2023;78.17;78.77;76.31;76.66;76.66;282,301
Nov 14, 2023;78.53;79.77;77.79;78.26;78.26;263,002
Nov 13, 2023;77.15;78.64;76.21;78.26;78.26;262,903
Nov 10, 2023;75.59;77.73;75.31;77.17;77.17;266,998
Nov 09, 2023;75.65;77.16;75.21;75.74;75.74;303,43
Nov 08, 2023;77.12;77.53;74.91;75.33;75.33;429,647
Nov 07, 2023;80.93;81.05;77.09;77.37;77.37;396,289
Nov 06, 2023;81.13;82.24;80.66;80.82;80.82;271,131
Nov 02, 2023;82.58;83.60;80.10;80.51;80.51;457,281
Nov 01, 2023;80.82;82.83;80.22;82.46;82.46;307,122
Oct 31, 2023;81.48;83.42;80.30;80.44;80.44;321,592
Oct 30, 2023;82.59;83.37;80.74;81.02;81.02;346,007
Oct 29, 2023;85.00;85.30;81.82;82.31;82.31;356,928
Oct 26, 2023;83.53;85.90;83.10;85.54;85.54;333,76
Oct 25, 2023;85.37;85.59;82.56;83.21;83.21;341,792
Oct 24, 2023;83.69;85.56;82.08;85.39;85.39;429,459
Oct 23, 2023;86.15;86.30;82.94;83.74;83.74;370,591
Oct 22, 2023;88.00;88.29;85.35;85.49;85.49;315,517
Oct 19, 2023;90.28;90.78;88.33;88.75;88.75;311,917
Oct 18, 2023;88.24;90.68;86.60;89.37;89.37;72,058
Oct 17, 2023;87.81;89.88;87.20;88.32;88.32;92,797
Oct 16, 2023;87.06;87.75;85.60;86.66;86.66;197,124
Oct 15, 2023;87.72;88.33;86.32;86.66;86.66;235,78
Oct 12, 2023;83.51;87.83;83.35;87.69;87.69;356,863
Oct 11, 2023;83.20;85.20;82.31;82.91;82.91;373,492
Oct 10, 2023;85.96;86.51;83.11;83.49;83.49;425,395
Oct 09, 2023;86.43;86.74;85.12;85.97;85.97;337,654
Oct 08, 2023;85.25;87.24;84.67;86.38;86.38;435,037
Oct 05, 2023;82.28;83.28;81.50;82.79;82.79;461,139
Oct 04, 2023;84.45;84.92;82.15;82.31;82.31;465,997
Oct 03, 2023;89.42;89.59;84.16;84.22;84.22;459,995
Oct 02, 2023;88.67;90.27;87.76;89.23;89.23;350,659
Oct 01, 2023;90.82;91.88;88.46;88.82;88.82;334,493
Sep 28, 2023;91.76;93.10;90.35;90.79;90.79;355,782
Sep 27, 2023;93.78;95.03;91.39;91.71;91.71;406,709
Sep 26, 2023;90.53;94.17;90.40;93.68;93.68;504,63
Sep 25, 2023;89.88;90.74;88.19;90.39;90.39;318,016
Sep 24, 2023;90.55;90.83;89.03;89.68;89.68;328,369
Sep 21, 2023;89.62;91.33;89.31;90.03;90.03;402,087
Sep 20, 2023;89.30;90.98;88.37;89.63;89.63;351,032
Sep 19, 2023;91.55;91.98;89.87;90.28;90.28;457,854
Sep 18, 2023;92.22;93.74;91.07;91.20;91.20;94,597
Sep 17, 2023;91.20;92.43;90.75;91.48;91.48;119,258
Sep 14, 2023;90.67;91.23;89.22;90.77;90.77;315,003
Sep 13, 2023;88.81;90.79;88.68;90.16;90.16;325,27
Sep 12, 2023;88.75;89.64;88.29;88.52;88.52;345,972
Sep 11, 2023;87.27;89.37;87.22;88.84;88.84;341,137
Sep 10, 2023;87.40;88.15;86.71;87.29;87.29;292,388
Sep 07, 2023;86.78;87.95;86.15;87.51;87.51;294,437
Sep 06, 2023;87.54;87.74;86.39;86.87;86.87;270,736
Sep 05, 2023;86.72;88.08;85.93;87.54;87.54;307,115
Sep 04, 2023;86.06;88.07;85.02;86.69;86.69;452,908
Aug 31, 2023;83.63;86.06;83.46;85.55;85.55;420,461
Aug 30, 2023;81.70;83.69;81.48;83.63;83.63;368,848
Aug 29, 2023;81.29;82.05;80.88;81.63;81.63;299,418
Aug 28, 2023;79.98;81.41;79.34;81.16;81.16;284,168
Aug 27, 2023;80.15;80.87;79.61;80.10;80.10;246,584
Aug 24, 2023;78.88;80.45;78.14;79.83;79.83;411,409
Aug 23, 2023;78.57;79.28;77.59;79.05;79.05;349,23
Aug 22, 2023;79.64;79.91;77.62;78.89;78.89;378,146
Aug 21, 2023;80.80;80.99;80.10;80.35;80.35;287,489
Aug 20, 2023;81.43;82.47;80.61;80.72;80.72;115,874
Aug 17, 2023;80.04;81.61;79.59;81.25;81.25;128,09
Aug 16, 2023;79.25;81.08;78.95;80.39;80.39;235,581
Aug 15, 2023;81.23;81.43;79.05;79.38;79.38;325,403
Aug 14, 2023;82.52;82.91;80.40;80.99;80.99;303,207
Aug 13, 2023;83.09;83.20;81.76;82.51;82.51;277,352
Aug 10, 2023;82.83;83.81;82.23;83.19;83.19;331,254
Aug 09, 2023;84.25;84.89;82.58;82.82;82.82;362,188
Aug 08, 2023;82.88;84.65;82.67;84.40;84.40;478,14
Aug 07, 2023;82.53;83.08;79.90;82.92;82.92;424,545
Aug 06, 2023;82.82;83.30;81.52;81.94;81.94;293,036
Aug 03, 2023;81.73;83.24;81.51;82.82;82.82;320,873
Aug 02, 2023;79.77;81.86;78.69;81.55;81.55;402,641
Aug 01, 2023;82.05;82.43;79.05;79.49;79.49;414,825
