name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
south germany,28.03.2018 9:00:00,"8,4","7,1",5,"79,16","0,004",100,rain,0,0,,"8,2",242,"1008,6",,"45,2",,,,,Rain,rain,"04928,06275,04349,04160,03278,04931"
south germany,08.06.2018 21:00:00,"18,6","18,6","15,8","84,15","0,893",100,rain,0,0,,"12,1",257,"1011,2",,"21,5",,,,,Rain,rain,"04928,06275,04349,04160,03278,04931"
south germany,28.07.2018 11:00:00,"23,7","23,7","16,5","63,83","0,234",100,rain,0,0,,"14,6",113,"1009,2",,"42,8",,,,,Rain,rain,"04928,06275,04349,04160,03278,04931"
south germany,28.07.2018 12:00:00,"25,4","25,4","16,3","57,09","0,004",100,rain,0,0,,"16,6",160,"1009,4",,"29,1",,,,,Rain,rain,"04928,06275,04349,04160,03278,04931"
south germany,22.08.2018 18:00:00,"26,9","27,1","14,4","46,35","1,019",100,rain,0,0,,19,197,"1014,1",,4,,,,,Rain,rain,"04928,06275,04349,04160,03278,04931"
south germany,22.08.2018 19:00:00,"25,6","25,6","16,4","56,63","2,511",100,rain,0,0,,"11,6",215,1014,,41,,,,,Rain,rain,"04928,06275,04349,04160,03278,04931"
south germany,20.02.2018 17:00:00,"0,1","-3,2","-4,8","69,48",0,0,,0,"1,03",,"10,3",43,"1017,2",,12,,,,,Clear,clear-day,"04928,06275,04349,04160,03278,04931"
south germany,21.02.2018 8:00:00,"-1,7","-5,5","-4,4","81,89",0,0,,0,"0,86",,"10,4",17,"1021,1",,"5,7",,,,,Clear,clear-day,"04928,06275,04349,04160,03278,04931"
south germany,21.02.2018 9:00:00,"-1,7","-5,5","-4,6","80,9",0,0,,0,"0,84",,"10,7",37,"1021,3",,"5,7",,,,,Clear,clear-day,"04928,06275,04349,04160,03278,04931"
south germany,21.02.2018 10:00:00,"-1,4","-4,7","-4,7","78,43",0,0,,0,"0,83",,9,43,"1021,3",,"5,7",,,,,Clear,clear-day,"04928,06275,04349,04160,03278,04931"
south germany,21.02.2018 11:00:00,"-0,9",-4,"-4,8","74,77",0,0,,0,"0,81",,"8,7",37,"1021,5",,"5,3",,,,,Clear,clear-day,"04928,06275,04349,04160,03278,04931"
south germany,21.02.2018 12:00:00,"-0,5","-4,5","-5,1","70,75",0,0,,0,"0,79",,"12,9",13,"1021,3",,"6,3",,,,,Clear,clear-day,"04928,06275,04349,04160,03278,04931"
