name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
north germany,2018-01-01,8.7,4,7,6,1.3,3.7,2,70.8,0.153,100,25,rain,0,0,,32.9,213.8,1007,67.6,40.3,33.9,2.8,2,,2018-01-01T08:11:50,2018-01-01T16:26:49,0.48,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-02,6.3,2.8,4.6,2.8,-0.8,0.7,2,83.7,2.156,100,66.67,rain,0,0,,31.7,244.5,1011.5,72.3,40.1,15.9,1.3,1,,2018-01-02T08:11:46,2018-01-02T16:27:50,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-03,8,3.6,5.6,3.9,-0.6,1.1,2.7,82,7.94,100,75,rain,0,0,,42,226,1000.8,77.4,35.3,21.1,1.8,1,,2018-01-03T08:11:39,2018-01-03T16:28:54,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-04,9.6,4.5,5.9,6.8,0.7,2.6,4.2,88.9,18.421,100,83.33,rain,0,0,,32.2,214.5,1001.1,94.4,20.9,11.1,0.9,0,,2018-01-04T08:11:29,2018-01-04T16:30:00,0.58,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-05,9.4,5.3,7.5,7.9,2.7,5.3,5.1,85,4.103,100,41.67,rain,0,0,,29.3,213,1002.2,89.2,30.1,20.8,1.8,1,,2018-01-05T08:11:15,2018-01-05T16:31:08,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-06,8.9,2.8,6.2,8.2,1.4,5.2,5.5,95.5,0.513,100,16.67,rain,0,0,,11.7,116.4,1008.9,84.7,22.4,25.8,2.1,1,,2018-01-06T08:10:59,2018-01-06T16:32:18,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-07,6.3,0.3,4.2,4,0.3,2.6,3,92,0,0,0,,0,0,,15,44.6,1020,95.1,18.1,6.4,0.6,0,,2018-01-07T08:10:39,2018-01-07T16:33:31,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-08,6.5,4.5,5.1,2.5,0.8,1.7,2.4,82.4,0,0,0,,0,0,,24.9,87,1023.8,93.2,25,20.1,1.7,1,,2018-01-08T08:10:17,2018-01-08T16:34:45,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-09,8,3,5.1,5.8,0,3,2.9,86,0,0,0,,0,0,,15.8,106.9,1015.4,69.6,36.1,23.7,1.9,2,,2018-01-09T08:09:52,2018-01-09T16:36:01,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-10,8.9,-0.6,3,7.7,-4,1.2,1.5,90.7,0,0,0,,0,0,,16.5,115.2,1014.5,75,17,57.1,4.9,3,,2018-01-10T08:09:23,2018-01-10T16:37:20,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-11,4.3,0.5,2.7,4.3,-2.9,1.4,1.6,92.5,0,0,0,,0,0,,12.7,105.9,1017.4,89.9,11.8,10.9,0.8,0,,2018-01-11T08:08:52,2018-01-11T16:38:40,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-12,4.2,1.3,3.3,4.2,0.6,2.4,1.8,90.2,0,0,0,,0,0,,13,132.3,1025.9,59,10.3,15.9,1.4,1,,2018-01-12T08:08:18,2018-01-12T16:40:01,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-13,3.8,-1.5,1.6,2.6,-4.9,-0.9,-0.6,85.9,0,0,0,,0,0,,19.8,71.2,1026.9,42.5,18.4,14.7,1.3,1,,2018-01-13T08:07:41,2018-01-13T16:41:25,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-14,3.2,-3.3,0.3,0.3,-6.2,-2.5,-3.3,77.4,0,0,0,,0,0,,19.6,81.9,1024.5,50.9,27.2,30.4,2.7,2,,2018-01-14T08:07:01,2018-01-14T16:42:50,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-15,2.6,-5.2,-0.3,-2,-9.6,-4.9,-2.6,85.4,0.817,100,8.33,rain,0,0,,27,137,1017.8,43.9,17.7,42.6,3.7,2,,2018-01-15T08:06:18,2018-01-15T16:44:16,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-16,6.8,3.3,4.8,2.9,-1.6,0.5,2.4,85.2,7.754,100,70.83,rain,0,0.1,,38.1,230.2,998.4,74.8,32.3,22.3,1.9,2,,2018-01-16T08:05:33,2018-01-16T16:45:44,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-17,3,0.1,1.5,0.7,-5.9,-3.4,-0.7,85.1,5.375,100,58.33,"rain,snow",0.9,0.5,,39.1,260,1002.6,73.9,30,28.2,2.5,2,,2018-01-17T08:04:45,2018-01-17T16:47:13,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-18,8.9,0.8,3.8,3.7,-4.3,-0.7,0.9,82,2.98,100,50,"rain,snow",0.5,1.4,,58.2,238.6,1004.6,74,33.5,21,1.7,1,,2018-01-18T08:03:54,2018-01-18T16:48:43,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-19,3.6,0.4,1.9,0.8,-3,-1.1,-0.4,85.5,7.287,100,62.5,"rain,snow",0.6,1.3,,26,246.1,1009.5,49.3,36.4,24.3,2,1,,2018-01-19T08:03:01,2018-01-19T16:50:15,0.08,"Snow, Rain, Partially cloudy",Clearing in the afternoon with a chance of rain or snow throughout the day.,snow,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-20,2.4,-0.1,0.9,-0.9,-3.5,-2.2,0.1,94.4,5.858,100,75,"rain,snow",0.7,2,,15.5,165.7,1008.6,89.4,20.6,19.8,1.6,1,,2018-01-20T08:02:05,2018-01-20T16:51:48,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-21,1.4,-2.1,0.4,0.3,-5.6,-2.8,-0.4,94.4,2.623,100,91.67,"rain,snow",0.9,2.7,,30.1,291.3,1012.3,68.5,13.6,28.9,2.6,2,,2018-01-21T08:01:06,2018-01-21T16:53:21,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-22,1.7,-2.1,0.2,1.6,-6.5,-3.2,-0.4,96.2,1.572,100,58.33,"rain,snow",0.5,3.1,,21.7,131.3,1013.5,97.6,7.5,18.4,1.6,1,,2018-01-22T08:00:05,2018-01-22T16:54:56,0.19,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-23,6.3,3.2,4.6,3.6,-0.6,1.7,2.6,87.4,0,0,0,,0,1.1,,18,240,1024.6,70,26.1,25.1,2,1,,2018-01-23T07:59:02,2018-01-23T16:56:31,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-24,11.7,4.3,6.9,11.7,1.4,4.8,4.2,82.9,0.22,100,25,rain,0,0.3,,17.3,155.1,1023.6,82.9,38.9,77.3,6.9,4,,2018-01-24T07:57:56,2018-01-24T16:58:08,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-25,10.9,3.5,6.7,10.9,0.5,4.4,3,78.3,0,0,0,,0,0,,16.2,133.1,1017.6,99.3,47.6,38.7,3.3,2,,2018-01-25T07:56:48,2018-01-25T16:59:45,0.29,Overcast,Cloudy skies throughout the day.,cloudy,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-26,9,5.1,6.6,9,2.6,5,4.1,84.5,0.016,100,8.33,rain,0,0,,13.6,101.3,1018.1,90.9,31.6,38.2,3.3,2,,2018-01-26T07:55:37,2018-01-26T17:01:23,0.32,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-27,6.6,0.8,5,6.6,-1.6,3.7,4.2,94.6,0.08,100,20.83,rain,0,0,,11.8,343.8,1030.8,80.6,10.1,18.6,1.5,1,,2018-01-27T07:54:25,2018-01-27T17:03:01,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-28,7,2.3,5.5,5.2,-0.1,2.7,3.8,89.6,0.089,100,25,rain,0,0,,22.1,233.6,1034.3,96.4,24,21.1,1.8,1,,2018-01-28T07:53:10,2018-01-28T17:04:40,0.39,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-29,8.3,6.5,7.5,5,3.2,4.2,4.9,83.9,0.021,100,29.17,rain,0,0,,32.9,250.9,1030.1,96.3,31,17.7,1.6,1,,2018-01-29T07:51:53,2018-01-29T17:06:19,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-30,8.3,-0.8,4.6,4.4,-4.4,1.8,1.3,79.6,0.174,100,20.83,rain,0,0,,29.6,269.7,1029.2,49.2,40.5,57.9,4.9,3,,2018-01-30T07:50:34,2018-01-30T17:07:59,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-01-31,8.5,-0.2,5.5,5.4,-4.2,2.5,2.6,82.3,1.287,100,54.17,rain,0,0,,21.3,173.7,1015,79.5,32.7,45.2,3.8,2,,2018-01-31T07:49:13,2018-01-31T17:09:40,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-01,5.7,0.8,3.1,2.8,-2.2,0.2,1.4,88.7,3.584,100,66.67,rain,0,0,,17.4,225.9,1004.4,93.8,28.8,22.1,1.9,1,,2018-02-01T07:47:49,2018-02-01T17:11:20,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-02,3.4,-1.5,1.6,0.1,-4.9,-1.8,-1,83.1,0.231,100,20.83,"rain,snow",0,0.1,,21.5,224,1007.6,40.1,36.9,39.8,3.4,3,,2018-02-02T07:46:24,2018-02-02T17:13:01,0.56,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-03,3.2,-0.1,1.5,0.1,-2.3,-1.3,-0.7,85.6,0.39,100,45.83,"rain,snow",0,0,,18,257.6,1007.6,70.1,23.6,39.7,3.3,2,,2018-02-03T07:44:57,2018-02-03T17:14:42,0.59,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-04,3.2,-3,-0.4,3.2,-7,-2.1,-2.2,88.3,0,0,0,,0,0.1,,10.5,91.8,1016.2,68,16.6,42.1,3.7,2,,2018-02-04T07:43:28,2018-02-04T17:16:24,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-05,1.9,-2.4,-0.8,-1.5,-6.4,-4.1,-4.8,74.7,0,0,0,,0,0.1,,21.7,64.6,1024.5,7.3,31.7,86.4,7.3,4,,2018-02-05T07:41:58,2018-02-05T17:18:05,0.66,Clear,Clear conditions throughout the day.,clear-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-06,2.6,-4.7,-1.6,-0.7,-9.9,-5.4,-5.6,74.9,0,0,0,,0,0,,19,89.6,1016.4,52.3,27,54.1,4.5,3,,2018-02-06T07:40:25,2018-02-06T17:19:47,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-07,0.7,-5.7,-2.3,0.7,-8,-4.4,-5.1,81.4,0,0,0,,0,0,,14.4,28.1,1014.3,70.5,14.6,28.6,2.3,1,,2018-02-07T07:38:51,2018-02-07T17:21:29,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-08,0,-3,-1.4,-0.1,-5.5,-2.5,-4,82.4,0,0,0,,0,0.1,,8.5,323.7,1019.9,63.2,6.5,30.2,2.6,1,,2018-02-08T07:37:15,2018-02-08T17:23:10,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-09,1.2,-4.5,-1.1,-1.4,-4.5,-2.8,-3.5,83.8,0,0,0,,0,0,,12.3,158.6,1018.5,68.9,8.4,15.9,1.2,1,,2018-02-09T07:35:38,2018-02-09T17:24:52,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-10,1.9,-0.6,0.4,1.3,-3.6,-1.5,-2.2,82.9,0,0,0,,0,0,,14.1,202.7,1017.8,54,10.4,16.1,1.3,1,,2018-02-10T07:33:59,2018-02-10T17:26:34,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5540,03667,01279,03975,03668,04280,01721"
north germany,2018-02-11,2.3,0.4,1.3,0.6,-4.4,-2,-0.7,86.9,0.373,100,37.5,"rain,snow",0.2,0.1,,20,192.2,1010,75.5,17.5,29.6,2.6,1,,2018-02-11T07:32:19,2018-02-11T17:28:16,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"E5540,03667,01279,03975,03668,04280,01721"
